,id,pos,vel
0,0,"[-0.5908998797701974, 1.2199094020097367, 0.2873104516095467, -2.5839315551980864, 1.9598649825087036, -0.15909634925481525, 1.0282182976434502, -3.674143238486837, -0.825644470202691, 2.819146730914696, -0.053200669119129254, -1.348208847202553, 3.2786105891955315, 2.061140980719562, 0.17173834362620938, -0.28925037948693244, 1.9740967114260215, -0.7031414671499034, 4.4524910141404455, -3.4431736103076096]","[1.5526770891308614, 0.4670700788714566, 0.09736769818731694, -2.5662756634294066, 1.673477151655742, 1.1198360971660175, 1.0561130019926037, -0.543272798529031, -0.1671300524426613, 1.0575827898693295, -2.2712046155778, -1.946114578632853, -1.1668024029816386, -0.5430711330869803, -0.6575684807049358, -1.1682218055993838, -0.08052415961703936, -0.22017702431520988, 2.871006518971547, -1.4024225983452987]"
1,1,"[-0.3040194477344344, 0.5473533496549658, -0.18641234929105524, -3.2686152078738617, 2.070580620818092, 0.18762031259235767, 0.4959293663437149, -2.873769739642377, -1.153237294897145, 2.4843727533249385, -0.9125384390348636, -1.364515057814071, 1.8869226333426263, 1.1544530659353218, -0.4918948726434771, -0.7119707985903816, 1.6583553952286572, -0.18989805614983016, 4.222573304011312, -3.195664562702165]","[-0.5168264922855585, 1.5902496098488463, 1.6346040496476442, 0.4692431585442974, 0.5322837798500867, -0.7033777808247009, 1.623335089632587, -2.9543518410906353, 0.7449583212980914, 1.1016438439330634, 1.8540539238476075, -0.07268899161936548, 2.9443031099327546, 1.5719029708407486, 1.3020395991638136, -0.059000269345796295, 0.9563929832976452, -0.6378380933412506, 1.424535933060923, -0.6777832372275946]"
2,2,"[0.2215237950315301, -0.36841002016818697, 0.06781207225328384, 0.7174861749711567, -0.4719527562704013, -0.4572557783985986, -0.47289564213946, 0.8152246378952014, -0.15291424892315336, -0.7920245331191629, -0.1696466500911947, 0.7053596557625644, -0.8625514007955983, -0.5228098891694853, 0.19333654155135932, -0.5405196775470144, -0.0798293578446331, 0.6290275502328961, -1.0498624530520992, 1.1806437937356555]","[-0.8380709864867222, -1.3860852355423643, -0.7631198477116904, -0.7772767569118669, 0.1053701666331597, 0.9288352578924999, -0.504482212674964, 0.28195349708459067, 0.13983662725299761, 0.11846355992792872, 0.6805572749080254, 0.7892326527236444, -0.7480160562914488, -1.1340807905861705, -0.970916525891689, 0.3069558283195685, -0.3310107529267105, 0.3716251532447843, -0.6057461018528121, -0.8023652821084138]"
3,3,"[0.02030406567453296, 0.0001099117521038669, 0.7599227958014974, 0.009783642092841998, -0.048206079803282356, 0.1073716197578312, 0.41647191537986306, 0.6306856713371269, -0.29956350891300115, 0.19253985329483186, 0.07477839921314137, 0.8256150102169341, -0.9794306472088741, -0.5548979996025375, -0.054776874458495134, 0.42208904189543117, -0.3276309479648399, 0.36191574264314075, 0.25733781110638804, 1.0094724505630845]","[0.10797227897583002, -0.5488463492763401, -0.6580018164335688, 0.6360557853296464, -0.4485213019825003, -0.32081309769885424, -0.8641090672216689, 0.4560397197222028, 0.18002714434741854, -0.9659594686987671, -0.1496310050429727, 0.12678629549383974, -0.25931992156600336, -0.29294720598198576, 0.06863497587343699, -0.7466302838514572, 0.017438615483029746, 0.3672796286416798, -1.4341365498831269, 0.2915699859876943]"
4,4,"[0.7508280099322066, -0.14229661553121553, -0.09464789860456561, 1.7996507252720695, -0.8061341550585605, 0.11412457130554395, 0.3831533281378398, 1.5646917840989087, 0.9019329593842426, -0.7379289344476677, 0.1941862423340623, 0.18997609343930988, -0.945686789017448, 0.1278679660170026, 0.6712113312190718, 0.2631720206494094, -0.16054854809515642, -0.5538402919489932, -1.3535003232398892, -0.07021889993149315]","[-0.27183753280810674, 1.3978419269734124, 0.5421342389028283, -0.06027330338568344, -0.14472092022042402, 6.894899327079904e-05, 0.1909841158255931, -0.6381436795905501, -0.8070695964462603, 0.04704730004972134, -0.7552287508334619, -0.06090580727600686, 1.2049307159365086, 1.1042130981852265, -0.8027504859857089, 0.7531828258669521, -0.5305294293610217, 0.3294632808804682, 0.7157700175555644, 0.9725637081061285]"
5,5,"[-0.37465344071050616, -1.4084869385405325, -0.6902054244167158, -0.16956222085785203, -0.18666063022507243, -0.47533725527303244, -1.248541103479856, 0.39427397102376177, -0.37772375082500104, -0.8450106750595449, -0.010515625915192452, 0.9762024607793316, -1.0741466023428299, -1.0394401458796207, -0.4324653104768234, -1.1998512125975072, 0.29116534351768414, 1.2424256891484498, -1.4291250717069535, 0.5215193413270867]","[-0.019963773662839156, 0.1810602733991535, 0.2516262146866336, -0.35892162798123917, 0.35560336987536373, 0.8301147653280334, -0.5353473220074859, -0.8545216574426386, -0.07254534185571762, 0.3905580092592089, 0.2643456089437657, 0.7528955583466057, 0.6878107152186181, -0.7427466187128979, 0.15559179783849372, 0.06062100700649863, -0.011823522414564316, 0.1753689178930987, 0.7242200510693263, 0.14350771921449365]"
6,6,"[0.1878194721969335, -0.5510211177939887, -0.41320419085277654, 0.6995956163894567, -0.47161974976716453, -0.060910740753612067, -0.6127596605607231, 0.7252109865424282, 0.05997051817533533, -0.7327207915875174, -0.07847585948054696, 0.49600252869654166, -0.4794571018182222, -0.4508861850276401, 0.10824836196464653, -0.4523709840143629, -0.06932827922427191, 0.2751973769861427, -1.012653602673664, 0.37299029631468705]","[-0.23026784146957008, -0.3679092421251663, 0.252805315862793, 0.28006324836061636, -0.1903281093933699, -0.06282104874047549, -0.08712165382205861, 0.3507254493057661, 0.12733500723827595, -0.44351522547791233, 0.42572030334113, 0.716867597580181, -1.0356031510053758, -0.18068931092938456, -0.3786805523331225, 0.2827831058458376, -0.17870544030618052, 0.531924080869463, -0.7509748466906675, 0.8214135084198471]"
7,7,"[-0.0933056043409267, -0.7272154584355852, -0.3008675619611402, 0.22135200808526737, -0.24699337192904441, -0.16659152445482572, -0.6947743780512229, 0.526735891466484, -0.13362244577031, -0.5621734495841161, -0.05187015191397103, 0.7696018891975561, -0.7161942981370394, -0.7053930441470664, -0.10232971176783524, -0.6146863698381453, 0.027062552914269275, 0.7552547476454005, -0.972147565147444, 0.4697185552428111]","[-0.04535894364686086, -0.7477426867479696, -0.2332241106480899, -0.16618811941043943, -0.3067246870465385, 0.03293423859783471, -0.6412247963649159, 0.3768575311610727, -0.1949025048986845, -0.4537615153692556, 0.021661560065739126, 0.8472300233428813, -0.8794214122053325, -0.950869064835601, -0.29820210767981536, -0.2727241126308565, 0.06655526558268517, 0.5470274692192221, -0.794238470117079, 0.8278827706337617]"
8,8,"[0.686833120035272, -0.07278587133357255, -0.03280461720855963, 2.6868754882101884, -1.2642853263388663, 0.043028067507248614, 0.19939427832851556, 1.0735550565841618, 0.48235117927617027, -1.7797036743835537, 0.8535298105655695, -0.05352015140667816, -0.6373026243872274, 1.4189879085114616, -0.2199105236557887, 0.8895852533995556, -0.5029283789242839, -1.22913164003477, -0.9906309768544937, 0.7502598515648359]","[1.3312947936137587, 1.469899720072678, 0.2849185162388245, 0.9088533513015739, -0.7078227663826142, 1.1687936420670277, 0.5586250329912588, 1.9229426111294652, 1.2559054335096838, 0.6541458578591312, -1.3324602218559742, 0.051584799874886296, 0.5991753868966909, -0.8893784673109906, 1.9267627146292359, 1.1771531594171116, -0.9304123548174221, -0.4742736483462343, -0.32190521970530594, 0.2615680156313267]"
9,9,"[0.5141801701279648, -0.16985443982742185, -0.2475000975823203, 1.9248666333523436, -1.2731298701933003, 0.31553854460325204, -0.4705179418572433, 0.9114686952761502, 0.330456739864344, -1.5754138034159075, 0.5565925116373478, 0.724358834738795, -0.06439750148435823, 0.5529448932864222, 0.02644337470241724, 0.8992833081118596, -0.2779008699070891, -0.5450978036216781, -1.3563590478091585, 1.1788698724122513]","[0.331687411246521, 0.14226648433257572, -0.04600095681540666, 1.2693652948800664, -0.2628458741578344, -0.11574173983870255, 0.40988544326237464, 1.0904457782365893, 0.30108488377087816, -0.3671330886531635, -0.23783184897127604, -0.9399268189962262, -0.7989258495950654, 0.21317687699322355, -0.013860380417575686, -0.2962912414335203, -0.9428631175468637, -0.6708908403959444, -0.15231920931318593, -0.23911977674954232]"
